ellipses.0.centre.centre_0,ellipses.0.centre.centre_1,ellipses.0.ell_comps.ell_comps_0,ellipses.0.ell_comps.ell_comps_1,          log_likelihood,log_prior,           log_posterior,weight
          -0.0276342618318,         -0.09893414757605,                0.43925218008671,                0.51461600967424,-1.0000000000000002e+115,      0.0,-1.0000000000000002e+115,   0.0
         -0.03511627535832,          0.02869324172454,                0.12758485863634,               -0.07386101046649,-1.0000000000000002e+114,      0.0,-1.0000000000000002e+114,   0.0
          0.00853370254063,         -0.01961941585815,                0.03628010470708,                0.39571128364513,-1.0000000000000002e+113,      0.0,-1.0000000000000002e+113,   0.0
          0.02318824288559,         -0.08377653459155,                0.09706604401993,                0.21146114823095,-1.0000000000000001e+112,      0.0,-1.0000000000000001e+112,   0.0
         -0.03735551544177,          0.03576707347105,               -0.31671723550081,               -0.17178478374111,-1.0000000000000001e+111,      0.0,-1.0000000000000001e+111,   0.0
          0.08050842587704,          0.08297564085751,               -0.31821145710535,                0.42726897067676,                 -1e+110,      0.0,                 -1e+110,   0.0
          0.04252266988244,         -0.06683426267946,               -0.19173760188204,               -0.40913398582228,                 -1e+109,      0.0,                 -1e+109,   0.0
         -0.08841123860108,         -0.02052641028074,                 0.3202238855832,                0.26534119336992,                 -1e+108,      0.0,                 -1e+108,   0.0
         -0.09004992357453,         -0.02264254060256,               -0.57995223183107,               -0.22128509216726,                 -1e+107,      0.0,                 -1e+107,   0.0
         -0.04703803833644,          0.08095786625865,                0.35973655053867,                0.32438088702308, -9.999999999999999e+105,      0.0, -9.999999999999999e+105,   0.0
          0.08281655798262,         -0.07916998546637,               -0.34568960292072,               -0.23771466546239,                 -1e+105,      0.0,                 -1e+105,   0.0
          0.07230369175445,         -0.00537011026781,                0.23270619120752,                0.11803411887543,                 -1e+104,      0.0,                 -1e+104,   0.0
         -0.00614488260127,          0.09061596724596,               -0.38854781034283,                0.03244906076306,                 -1e+103,      0.0,                 -1e+103,   0.0
           0.0291157944082,          0.00806907666557,               -0.55911806179108,               -0.47048284559574,                 -1e+102,      0.0,                 -1e+102,   0.0
          0.01975172863486,         -0.09761129069316,               -0.33973635839737,               -0.23631535371312,                 -1e+101,      0.0,                 -1e+101,   0.0
          0.08910485465377,         -0.03181998211657,               -0.11804664515055,                0.22513099258349,                 -1e+100,      0.0,                 -1e+100,   0.0
          0.03817066126176,          0.04389584289202,                 0.0203818490193,               -0.06995163606624,                  -1e+99,      0.0,                  -1e+99,   0.0
          0.05039417824349,         -0.09107539715263,                0.57024200063067,               -0.05709833285233,      -23689.38047562109,      0.0,      -23689.38047562109,   0.0
         -0.07023162473933,          0.02730953213633,               -0.02895814123636,               -0.51904288181057,     -15504.949542850567,      0.0,     -15504.949542850567,   1.0
